id,faculty,program_name,program_code,ugpg,year,partial_accreditation,full_accreditation
1,FTMK,Diploma in Computer Science,DCS,UG,2020,,
2,FTMK,Bachelor of Computer Science (Computer Networking) with Honours,BITC,UG,2025,,
3,FTMK,Bachelor of Computer Science (Database Management) with Honours,BITD,UG,2024,,
4,FTMK,Bachelor of Computer Science (Artificial Intelligence) with Honours,BITI,UG,2025,,
5,FTMK,Bachelor of Computer Science (Interactive Media) with Honours,BITM,UG,2025,,
6,FTMK,Bachelor of Computer Science (Software Development) with Honours,BITS,UG,2025,,
7,FTMK,Bachelor of Computer Science (Computer Security) with Honours,BITZ,UG,2025,,
8,FTMK,Bachelor of Information Technology (Game Technology) with Honours,BITE,UG,2023,,
9,FTMK,Master of Computer Science (Multimedia Computing),MCSM,PG,2023,,
10,FTMK,Master of Computer Science (Database Technology),MITD,PG,2022,,
11,FTMK,Master of Computer Science (Internetworking Technology),MITI,PG,2022,,
12,FTMK,Master in Computer Science (Software Engineering),MITS,PG,2022,,
13,FTMK,Master of Computer Science (Security Science),MITZ,PG,2022,,
14,FTMK,Master in Mobile Software Development,MMSD,PG,2022,,
15,FTMK,Master of Technology (Data Science & Analytics),MTDS,PG,2022,,
16,FTMK,Master of Technology in Data Science & Analytics,MTDL,PG,2022,,
17,FTMK,Master in Information and Communication Technology,MITA,PG,2022,,
18,FTMK,Doctor of Philosophy in Information and Communication Technology,PITA,PG,2022,,
19,FTMK,Doctor of Information Technology,PDIT,PG,2022,,
20,FTKE,Diploma in Electrical Engineering ,DEL,UG,2020,,
21,FTKE,Bachelor of Electrical Engineering with Honours ,BELG,UG,2020,,
22,FTKE,Bachelor of Mechatronics Engineering with Honours ,BELM,UG,2020,,
23,FTKE,Bachelor of Electrical Engineering Technology (Industrial Power) with Honours ,BELK,UG,2020,,
24,FTKE,Bachelor of Electrical Engineering Technology (Industrial Automation & Robotic) with Honours ,BELR,UG,2020,,
25,FTKE,Bachelor of Electrical Engineering Technology with Honours ,BELT,UG,2020,,
26,FTKE,Bachelor of Technology in Electrical Maintenance System with Honours ,BELS,UG,2026,,
27,FTKE,Master of Science (M.Sc.) in Electrical Engineering ,MEKA,PG,2026,,
28,FTKE,Master of Science (M.Sc.) in Mechatronics Engineering ,MEKM,PG,2026,,
29,FTKE,Master of Electrical Engineering (Industrial Power) ,MEKP,PG,2026,,
30,FTKE,Master of Electrical Engineering ,MEKG,PG,2026,,
31,FTKE,Master of Mechatronics Engineering ,MEKH ,PG,2026,,
32,FTKE,Doctor of Philosophy (Ph. D) ,PEKA,PG,2026,,
33,FTKE,Doctor of Engineering (D. Eng),EEKA,PG,2026,,
34,FPTT,Bachelor of Technopreneurship,BTEC,UG,2025,,
35,FPTT,Bachelor of Technology Management (Technology Innovation),BTMI ,UG,2025,,
36,FPTT,Bachelor of Technology Management (High Technology Marketing),BTMM ,UG,2025,,
37,FPTT,Bachelor of Technology Management (Supply Chain Management & Logistics),BTMS ,UG,2025,,
38,FPTT,Master of Technovation ,MTV,PG,2025,,
39,FPTT,Master of Business Administration (Advance Operation Management),MBA,PG,2027,,
